               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  43,            0.036543,            0.011812,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021716,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035478,            0.011332,                   0,                   0,                   0,                   0,                   0,                   0,            0.002284,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034387,             0.01246,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023935,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.034392,            0.011515,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024567,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.038586,            0.010036,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025553,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.034618,            0.010456,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025892,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.033304,             0.01047,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028839,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.035731,            0.010384,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028136,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.032859,           0.0091451,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027333,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.032908,           0.0089379,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025121,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.031516,            0.010648,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027628,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.03155,            0.009073,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027302,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032519,            0.009553,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028438,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.031585,           0.0097541,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026622,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032154,           0.0088164,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028309,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.030416,           0.0093671,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027686,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.03053,           0.0096795,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030435,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.025786,           0.0088024,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031192,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.030121,           0.0097068,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032707,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.027506,           0.0093964,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032568,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031075,           0.0085668,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031118,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.026098,            0.009019,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030616,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.026622,           0.0097692,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030554,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024025,           0.0095971,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031516,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.025653,           0.0090715,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032538,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.025028,           0.0078927,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032172,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024178,           0.0087616,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033046,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023428,           0.0073769,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032826,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.024144,           0.0076228,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033603,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030129,           0.0082141,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032632,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.026052,           0.0081343,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032901,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.024369,           0.0081767,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032848,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023987,           0.0072349,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032203,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.023732,           0.0082583,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032656,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.024003,           0.0084435,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032395,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022915,           0.0086568,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033134,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.025666,           0.0085979,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033729,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019851,           0.0078501,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035189,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.026413,           0.0078888,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035952,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01943,           0.0081235,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036856,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019616,           0.0076365,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037926,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022027,           0.0075621,                   0,                   0,                   0,                   0,                   0,                   0,            0.003787,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021445,            0.007586,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038446,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018828,            0.006963,                   0,                   0,                   0,                   0,                   0,                   0,             0.00392,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021334,           0.0083569,                   0,                   0,                   0,                   0,                   0,                   0,            0.003952,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020272,           0.0072294,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038859,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019679,           0.0080662,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039098,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018678,           0.0067186,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039537,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019594,           0.0078344,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040026,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020351,           0.0084543,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040392,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019774,            0.007415,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040845,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019271,           0.0063058,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041256,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018161,           0.0065661,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041001,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019063,           0.0082632,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041108,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017606,           0.0062831,                   0,                   0,                   0,                   0,                   0,                   0,            0.004104,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017747,           0.0066434,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041343,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017878,           0.0063525,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041503,                   0,            0.000298,            0.000298,            0.000298
